차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링],Error,Error
1995 엑센트,1.3 가솔린,615만원,SOHC,정보없음,"1,341cc",가솔린,"자동14.3km/ℓ(2등급)별표*
",5인승,전륜구동,자동4단,SOHC,"1,341cc",가솔린,85hp,12.0kg.m,정보없음,정보없음,정보없음,"자동14.3km/ℓ(2등급)별표*
",정보없음,"4,115mm","1,620mm","1,395mm","2,400mm","1,420mm","1,410mm",960kg,5인승,155mm/80/13inch,155mm/80/13inch,전륜구동,자동4단,맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
1995 엘란트라,1.6 DOHC,743~898만원,I41.6,정보없음,"1,596cc",가솔린,정보없음정보없음,5인승,전륜구동,"자동4단,수동5단",I41.6,"1,596cc",가솔린,126hp,15.3kg.m,195km/h,정보없음,정보없음,정보없음정보없음,정보없음,"4,375mm","1,675mm","1,395mm","2,500mm","1,430mm","1,430mm","1,025~1,118kg",5인승,185mm/60/14inch,185mm/60/14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,세메트레일링암,디스크,드럼,랙앤피니언,,
1995 엘란트라,1.8 DOHC,"976~1,145만원",I41.6,정보없음,"1,836cc",가솔린,정보없음정보없음,5인승,전륜구동,"자동4단,수동5단",I41.6,"1,836cc",가솔린,135hp,17.5kg.m,정보없음,정보없음,정보없음,정보없음정보없음,정보없음,"4,375mm","1,675mm","1,395mm","2,500mm","1,430mm","1,430mm",정보없음,5인승,185mm/60/14inch,185mm/60/14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,세메트레일링암,디스크,드럼,랙앤피니언,,
1995 엘란트라,1.5 DOHC,643~816만원,I41.5,정보없음,"1,468cc",가솔린,정보없음정보없음,5인승,전륜구동,"자동4단,수동5단",I41.5,"1,468cc",가솔린,90hp,13.5kg.m,정보없음,정보없음,정보없음,정보없음정보없음,정보없음,"4,375mm","1,675mm","1,395mm","2,500mm","1,430mm","1,430mm",정보없음,5인승,185mm/60/14inch,185mm/60/14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,"0,세메트레일링암",디스크,드럼,랙앤피니언,,
1996 다이너스티,2.5 가솔린,"2,694~2,910만원",V형6기통DOHC,정보없음,"2,497cc",가솔린,"자동8.8km/ℓ(4등급)별표*
",5인승,전륜구동,자동,V형6기통DOHC,"2,497cc",가솔린,167hp,21.4kg.m,195km/h,정보없음,12.0m,"자동8.8km/ℓ(4등급)별표*
",정보없음,"4,980mm","1,810mm","1,445mm","2,745mm","1,545mm","1,550mm","1,651kg",5인승,205mm/65/15inch,205mm/65/15inch,전륜구동,자동,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,유압식,,
1996 다이너스티,3.0 가솔린,"3,294~3,435만원",V형6기통DOHC,정보없음,"2,972cc",가솔린,"자동8.3km/ℓ(5등급)별표*
",5인승,전륜구동,자동,V형6기통DOHC,"2,972cc",가솔린,194hp,25.8kg.m,189km/h,정보없음,11.7m,"자동8.3km/ℓ(5등급)별표*
",정보없음,"4,980mm","1,810mm","1,445mm","2,745mm","1,545mm","1,550mm","1,713kg",5인승,215mm/65/15inch,215mm/65/15inch,전륜구동,자동,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,유압식,,
1996 마르샤,2.0 가솔린,"1,690~1,730만원",2.0DOHC,정보없음,"1,997cc",가솔린,"자동9.2km/ℓ(4등급)별표*
수동10.8km/ℓ(3등급)별표*
",5인승,전륜구동,"자동4단,수동5단",2.0DOHC,"1,997cc",가솔린,146hp,19.2kg.m,정보없음,정보없음,정보없음,"자동9.2km/ℓ(4등급)별표*
수동10.8km/ℓ(3등급)별표*
",정보없음,"4,770mm","1,770mm","1,405mm","2,700mm","1,515mm","1,505mm","1,355kg",5인승,195mm/70/14inch,195mm/70/14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,멀티링크코일스프링,V디스크,디스크,랙앤피니언,,
1996 싼타모,2.0 LPG SOHC,"1,313만원",l4,자연흡기,"1,997cc",LPG,정보없음,7인승,전륜구동,수동5단,l4,"1,997cc",LPG,82hp,16.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,515mm","1,695mm","1,580mm","2,720mm","1,460mm","1,460mm",정보없음,7인승,195mm/70/14inch,195mm/70/14inch,전륜구동,수동5단,맥퍼슨스트럿,세미트레일링암,정보없음,정보없음,랙앤피니언,,
1996 싼타모,2.0 가솔린 SOHC,"1,283만원",l4,자연흡기,"1,997cc",가솔린,수동11.8km/ℓ,7인승,전륜구동,수동5단,l4,"1,997cc",가솔린,115hp,18.1kg.m,정보없음,정보없음,정보없음,수동11.8km/ℓ,정보없음,"4,515mm","1,695mm","1,580mm","2,720mm","1,460mm","1,460mm",정보없음,7인승,195mm/70/14inch,195mm/70/14inch,전륜구동,수동5단,맥퍼슨스트럿,세미트레일링암,정보없음,정보없음,랙앤피니언,,
1996 싼타모,2.0 가솔린 DOH...,"1,438만원",l4,자연흡기,"1,997cc",가솔린,정보없음,7인승,풀타임4륜구동,수동5단,l4,"1,997cc",가솔린,115hp,18.1kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,515mm","1,695mm","1,580mm","2,720mm","1,460mm","1,460mm",정보없음,7인승,195mm/70/14inch,195mm/70/14inch,풀타임4륜구동,수동5단,맥퍼슨스트럿,세미트레일링암,정보없음,정보없음,랙앤피니언,,
