차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링],Error,Error
1996 싼타모 플러스,2.0 LPG SOHC,"1,448만원",l4,자연흡기,"1,997cc",LPG,정보없음,7인승,전륜구동,수동5단,l4,"1,997cc",LPG,82hp,16.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,685mm","1,740mm","1,590mm","2,720mm","1,470mm","1,470mm",정보없음,7인승,195mm/70/14inch,195mm/70/14inch,전륜구동,수동5단,맥퍼슨스트럿,세미트레일링암,정보없음,정보없음,랙앤피니언,,
1996 쏘나타,2.0 가솔린,"1,265~1,580만원","2.0DOHC,2.0SOHC",정보없음,"1,997cc",가솔린,"자동10.3~10.9km/ℓ(3등급~4등급)별표*
수동12.0~12.6km/ℓ(3등급)별표*
",5인승,전륜구동,"자동4단,수동5단","2.0DOHC,2.0SOHC","1,997cc",가솔린,115~146hp,18.1~19.2kg.m,186~197km/h,정보없음,정보없음,"자동10.3~10.9km/ℓ(3등급~4등급)별표*
수동12.0~12.6km/ℓ(3등급)별표*
",정보없음,"4,700mm","1,770mm","1,405mm","2,700mm","1,515mm","1,505mm","1,295~1,320kg",5인승,195~205mm/60~70/14~15inch,195~205mm/60~70/14~15inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,멀티링크코일스프링,디스크,드럼,랙앤피니언,,
1996 쏘나타,1.8 가솔린,"1,058~1,270만원","1.8DOHC,1.8SOHC",정보없음,"1,796~1,836cc",가솔린,"자동11.4~11.5km/ℓ(3등급)별표*
수동12.8~13.2km/ℓ(2등급)별표*
",5인승,전륜구동,"자동4단,수동5단","1.8DOHC,1.8SOHC","1,796~1,836cc",가솔린,110~135hp,16.5~17.5kg.m,179~187km/h,정보없음,정보없음,"자동11.4~11.5km/ℓ(3등급)별표*
수동12.8~13.2km/ℓ(2등급)별표*
",정보없음,"4,700mm","1,770mm","1,405mm","2,700mm","1,515mm","1,505mm","1,295~1,315kg",5인승,195mm/70/14inch,195mm/70/14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,멀티링크코일스프링,디스크,드럼,랙앤피니언,,
1996 티뷰론,2.0 가솔린,"1,210만원",I42.0,정보없음,"1,975cc",가솔린,정보없음,5인승,전륜구동,수동5단,I42.0,"1,975cc",가솔린,150hp,19.5kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,345mm","1,790mm","1,315mm","2,475mm","1,465mm","1,450mm","1,160kg",5인승,정보없음,정보없음,전륜구동,수동5단,정보없음,정보없음,정보없음,정보없음,랙앤피니언,,
1996 포터,2.7 디젤,839만원,I4,싱글터보,"2,607cc",디젤,정보없음,3인승,후륜구동,수동5단,I4,"2,607cc",디젤,83hp,17.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"5,075mm","1,690mm","1,930mm","2,607mm",정보없음,정보없음,"1,630kg",3인승,185mm/70/14inch,145mm/정보없음/12inch,후륜구동,수동5단,정보없음,정보없음,정보없음,정보없음,정보없음,,
1997 다이너스티 리무진,3.5 가솔린,"4,062만원",V형6기통DOHC,정보없음,"3,500cc",가솔린,정보없음정보없음,5인승,후륜구동,"자동,수동",V형6기통DOHC,"3,500cc",가솔린,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음정보없음,정보없음,"5,130mm","1,810mm","1,445mm","2,895mm","1,545mm","1,550mm",정보없음,5인승,215mm/65/15inch,215mm/65/15inch,후륜구동,"자동,수동",맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,정보없음,,
1997 스타렉스,2.4 가솔린,가격정보없음,l4,정보없음,"2,351cc",가솔린,정보없음정보없음,9인승,후륜구동,"자동4단,수동5단",l4,"2,351cc",가솔린,118hp,19.8kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음정보없음,정보없음,"5,035mm","1,820mm","1,965mm","3,080mm","1,570mm","1,545mm",정보없음,9인승,정보없음,정보없음,후륜구동,"자동4단,수동5단",더블위시본,5링크,V디스크,디스크,랙앤피니언
1997 프로엑센트,1.3 SOHC,가격정보없음,l3,자연흡기,"1,341cc",가솔린,자동14.3km/ℓ수동18.8km/ℓ,5인승,전륜구동,"자동4단,수동5단",l3,"1,341cc",가솔린,86hp,12.5kg.m,정보없음,정보없음,정보없음,자동14.3km/ℓ수동18.8km/ℓ,정보없음,"4,105mm","1,620mm","1,395mm","2,400mm","1,420mm","1,410mm",정보없음,5인승,정보없음,정보없음,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
1998 쏘나타,2.0 LPG,"1,189~1,381만원","2.0SOHC,2.0DOHC",정보없음,"1,997cc",LPG,"자동8.6km/ℓ(4등급)별표*
수동9.6km/ℓ(4등급)별표*
",5인승,전륜구동,"자동4단,수동4단","2.0SOHC,2.0DOHC","1,997cc",LPG,86hp,16.5kg.m,205km/h,정보없음,정보없음,"자동8.6km/ℓ(4등급)별표*
수동9.6km/ℓ(4등급)별표*
",정보없음,"4,710mm","1,820mm","1,410mm","2,700mm","1,540mm","1,520mm","1,340kg",5인승,195mm/70/14inch,195mm/70/14inch,전륜구동,"자동4단,수동4단",더블위시본,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1998 쏘나타,2.5 V6 가솔린,"2,350~2,635만원","6기통DOHC,4기통DOHC",정보없음,"2,493cc",가솔린,"자동11.1km/ℓ(3등급)별표*
수동11.1km/ℓ(3등급)별표*
",5인승,전륜구동,"자동4단,수동5단","6기통DOHC,4기통DOHC","2,493cc",가솔린,175hp,23.4kg.m,208~210km/h,정보없음,정보없음,"자동11.1km/ℓ(3등급)별표*
수동11.1km/ℓ(3등급)별표*
",정보없음,"4,710mm","1,820mm","1,410mm","2,700mm","1,540mm","1,520mm","1,395kg",5인승,205mm/60/15inch,205mm/60/15inch,전륜구동,"자동4단,수동5단",더블위시본,듀얼링크코일스프링,디스크,디스크,랙앤피니언,,
1998 쏘나타,2.0 가솔린,"1,357~1,951만원",4기통DOHC,정보없음,"1,997cc",가솔린,"자동11.1km/ℓ(3등급)별표*
수동11.1km/ℓ(3등급)별표*
CVT11.1km/ℓ(3등급)별표*
",5인승,전륜구동,"자동4단,수동5단,자동(CVT)",4기통DOHC,"1,997cc",가솔린,147hp,19.4kg.m,205km/h,정보없음,정보없음,"자동11.1km/ℓ(3등급)별표*
수동11.1km/ℓ(3등급)별표*
CVT11.1km/ℓ(3등급)별표*
",정보없음,"4,710mm","1,820mm","1,410mm","2,700mm","1,540mm","1,520mm","1,395kg",5인승,195~205mm/60~70/14~15inch,195~205mm/60~70/14~15inch,전륜구동,"자동4단,수동5단,자동(CVT)",더블위시본,듀얼링크코일스프링,디스크,디스크,랙앤피니언,,
1998 쏘나타,1.8 가솔린,"1,189~1,381만원",4기통DOHC,정보없음,"1,836cc",가솔린,"자동11.8km/ℓ(3등급)별표*
수동11.8km/ℓ(3등급)별표*
",5인승,전륜구동,"자동4단,수동5단",4기통DOHC,"1,836cc",가솔린,133hp,17.2kg.m,186~196km/h,정보없음,정보없음,"자동11.8km/ℓ(3등급)별표*
수동11.8km/ℓ(3등급)별표*
",정보없음,"4,710mm","1,820mm","1,410mm","2,700mm","1,540mm","1,520mm","1,380kg",5인승,195mm/70/14inch,195mm/70/14inch,전륜구동,"자동4단,수동5단",더블위시본,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1998 아반떼,1.5 가솔린,"752~1,021만원",I4,자연흡기,"1,495cc",가솔린,"정보없음별표*
정보없음별표*
",5인승,전륜구동,"자동4단,수동5단",I4,"1,495cc",가솔린,107hp,14.0kg.m,정보없음,정보없음,정보없음,"정보없음별표*
정보없음별표*
",정보없음,"4,450mm","1,700mm","1,457mm","2,550mm","1,465mm","1,450mm","1,242kg",5인승,정보없음/정보없음/14~15inch,정보없음/정보없음/14~15inch,전륜구동,"자동4단,수동5단",정보없음,정보없음,디스크,드럼,랙앤피니언,,
1998 아반떼,1.8 가솔린,"946~1,067만원",I4,자연흡기,"1,795cc",가솔린,"정보없음별표*
정보없음별표*
",5인승,전륜구동,"자동4단,수동5단",I4,"1,795cc",가솔린,129hp,정보없음,정보없음,정보없음,정보없음,"정보없음별표*
정보없음별표*
",정보없음,"4,450mm","1,700mm","1,457mm","2,550mm","1,465mm","1,450mm","1,247kg",5인승,정보없음/정보없음/15inch,정보없음/정보없음/15inch,전륜구동,"자동4단,수동5단",정보없음,정보없음,디스크,드럼,랙앤피니언,,
1998 티뷰론,2.0 가솔린,"1,181~1,500만원",직렬4기통,정보없음,"1,975cc",가솔린,정보없음정보없음,5인승,전륜구동,"자동,수동",직렬4기통,"1,975cc",가솔린,149hp,19.5kg.m,정보없음,정보없음,정보없음,정보없음정보없음,정보없음,"4,345mm","1,790mm","1,315mm","2,475mm","1,465mm","1,450mm","1,160kg",5인승,정보없음,정보없음,전륜구동,"자동,수동",정보없음,정보없음,정보없음,정보없음,"0,랙앤피니언",,
1998 티뷰론,1.8 가솔린,"1,020만원",직렬4기통,정보없음,"1,800cc",가솔린,정보없음,5인승,전륜구동,수동,직렬4기통,"1,800cc",가솔린,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,"4,345mm","1,790mm",정보없음,정보없음,"1,465mm","1,450mm",정보없음,5인승,정보없음,정보없음,전륜구동,수동,정보없음,정보없음,정보없음,정보없음,정보없음,,
1999 그랜저,Q25,"2,305~2,485만원",V6,자연흡기,"2,493cc",가솔린,"자동10.7km/ℓ(3등급)별표*
수동10.7km/ℓ(3등급)별표*
",5인승,전륜구동,"자동,수동5단",V6,"2,493cc",가솔린,180hp,23.4kg.m,205km/h,정보없음,11.1m,"자동10.7km/ℓ(3등급)별표*
수동10.7km/ℓ(3등급)별표*
",정보없음,"4,865mm","1,825mm","1,420mm","2,750mm","1,540mm","1,530mm","1,466kg",5인승,205mm/65/15inch,205mm/65/15inch,전륜구동,"자동,수동5단",더블위시본,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1999 그랜저,L30,"2,855~3,343만원",V6,자연흡기,"2,972cc",가솔린,"자동9.7km/ℓ(4등급)별표*
",5인승,전륜구동,자동5단,V6,"2,972cc",가솔린,182hp,26.0kg.m,220km/h,정보없음,10.6m,"자동9.7km/ℓ(4등급)별표*
",정보없음,"4,865mm","1,825mm","1,420mm","2,750mm","1,540mm","1,530mm","1,561kg",5인승,205mm/60/16inch,205mm/60/16inch,전륜구동,자동5단,더블위시본,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1999 그랜저,L25,"2,635~3,213만원",V6,자연흡기,"2,493cc",가솔린,"자동9.3~10.7km/ℓ(3등급~4등급)별표*
수동10.7km/ℓ(3등급)별표*
",4~5인승,전륜구동,"자동4단,수동4단",V6,"2,493cc",가솔린,180hp,23.4kg.m,205km/h,정보없음,11.1m,"자동9.3~10.7km/ℓ(3등급~4등급)별표*
수동10.7km/ℓ(3등급)별표*
",정보없음,"4,865mm","1,825mm","1,420mm","2,750mm","1,540mm","1,530mm","1,466~1,577kg",4~5인승,205mm/65/15inch,205mm/65/15inch,전륜구동,"자동4단,수동4단",더블위시본,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1999 그랜저,Q20,"2,100~2,315만원",V6,자연흡기,"1,998cc",가솔린,"자동9.7km/ℓ(4등급)별표*
",4인승,전륜구동,자동4단,V6,"1,998cc",가솔린,134hp,18.0kg.m,192km/h,정보없음,12.2m,"자동9.7km/ℓ(4등급)별표*
",정보없음,"4,865mm","1,825mm","1,420mm","2,750mm","1,540mm","1,530mm","1,573kg",4인승,205mm/65/15inch,205mm/65/15inch,전륜구동,자동4단,더블위시본,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1999 그랜저,Q30,"2,510~3,110만원",V6,자연흡기,"2,972cc",가솔린,"자동9.2~9.7km/ℓ(4등급)별표*
수동9.2~9.7km/ℓ(4등급)별표*
",5인승,전륜구동,"자동5단,수동5단",V6,"2,972cc",가솔린,182hp,21.0~26.0kg.m,220km/h,정보없음,10.6m,"자동9.2~9.7km/ℓ(4등급)별표*
수동9.2~9.7km/ℓ(4등급)별표*
",정보없음,"4,865mm","1,825mm","1,420mm","2,750mm","1,540mm","1,530mm","1,550~1,580kg",5인승,205mm/60~65/15~16inch,205mm/60~65/15~16inch,전륜구동,"자동5단,수동5단",더블위시본,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1999 그랜저,L20,"2,320~2,590만원",V6,자연흡기,"1,998cc",가솔린,"자동9.7~11.3km/ℓ(3등급~4등급)별표*
",4~5인승,전륜구동,자동4단,V6,"1,998cc",가솔린,134hp,18.0kg.m,192~201km/h,정보없음,12.2m,"자동9.7~11.3km/ℓ(3등급~4등급)별표*
",정보없음,"4,865mm","1,825mm","1,420mm","2,750mm","1,540mm","1,530mm","1,445~1,573kg",4~5인승,205mm/65/15inch,205mm/65/15inch,전륜구동,자동4단,더블위시본,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1999 아반떼 투어링,1.5 알파,가격정보없음,l4,자연흡기,"1,495cc",가솔린,자동12.5km/ℓ,5인승,전륜구동,자동4단,l4,"1,495cc",가솔린,104hp,14.3kg.m,정보없음,정보없음,정보없음,자동12.5km/ℓ,정보없음,"4,460mm","1,735mm","1,425mm","2,550mm","1,465mm","1,450mm",정보없음,5인승,정보없음,정보없음,전륜구동,자동4단,맥퍼슨스트럿,듀얼링크,정보없음,정보없음,랙앤피니언,,
1999 아반떼 투어링,1.8 베타,가격정보없음,l4,자연흡기,"1,795cc",가솔린,자동12.1km/ℓ,5인승,전륜구동,자동4단,l4,"1,795cc",가솔린,133hp,17.1kg.m,정보없음,정보없음,정보없음,자동12.1km/ℓ,정보없음,"4,460mm","1,735mm","1,425mm","2,550mm","1,465mm","1,450mm",정보없음,5인승,정보없음,정보없음,전륜구동,자동4단,맥퍼슨스트럿,듀얼링크,정보없음,정보없음,랙앤피니언,,
1999 에쿠스,JS300,"4,145~4,890만원",V6,자연흡기,"2,972cc",가솔린,"자동8.8km/ℓ(4등급)별표*
",5인승,전륜구동,자동5단,V6,"2,972cc",가솔린,203hp,27.6kg.m,216km/h,정보없음,정보없음,"자동8.8km/ℓ(4등급)별표*
",정보없음,"5,065mm","1,870mm","1,465mm","2,830mm","1,615mm","1,615mm","1,865kg",5인승,225mm/60/16inch,225mm/60/16inch,전륜구동,자동5단,맥퍼슨스트럿,멀티링크코일스프링,V디스크,디스크,랙앤피니언,,
1999 에쿠스,GS300,"3,575~3,834만원",V6,자연흡기,"2,972cc",가솔린,"자동8.8km/ℓ(4등급)별표*
",5인승,전륜구동,자동5단,V6,"2,972cc",가솔린,203hp,27.6kg.m,216km/h,정보없음,정보없음,"자동8.8km/ℓ(4등급)별표*
",정보없음,"5,065mm","1,870mm","1,465mm","2,830mm","1,615mm","1,615mm","1,865kg",5인승,225mm/60/16inch,225mm/60/16inch,전륜구동,자동5단,맥퍼슨스트럿,멀티링크코일스프링,V디스크,디스크,랙앤피니언,,
1999 에쿠스,GS350,"4,259만원",V6,자연흡기,"3,497cc",가솔린,"자동8.0km/ℓ(5등급)별표*
",5인승,전륜구동,자동5단,V6,"3,497cc",가솔린,220hp,32.0kg.m,217km/h,정보없음,정보없음,"자동8.0km/ℓ(5등급)별표*
",정보없음,"5,065mm","1,870mm","1,465mm","2,830mm","1,615mm","1,615mm","1,940kg",5인승,225mm/60/16inch,225mm/60/16inch,전륜구동,자동5단,맥퍼슨스트럿,멀티링크코일스프링,V디스크,디스크,랙앤피니언,,
1999 에쿠스,JS350,"4,546~5,182만원",V6,자연흡기,"3,497cc",가솔린,"자동8.0km/ℓ(5등급)별표*
",5인승,전륜구동,자동5단,V6,"3,497cc",가솔린,220hp,32.0kg.m,217km/h,정보없음,정보없음,"자동8.0km/ℓ(5등급)별표*
",정보없음,"5,065mm","1,870mm","1,465mm","2,830mm","1,615mm","1,615mm","1,940kg",5인승,225mm/60/16inch,225mm/60/16inch,전륜구동,자동5단,맥퍼슨스트럿,멀티링크코일스프링,V디스크,디스크,랙앤피니언,,
1999 에쿠스,VS450,"6,357~6,386만원",V8,자연흡기,"4,498cc",가솔린,"자동7.7~8.0km/ℓ(5등급)별표*
",5인승,전륜구동,자동5단,V8,"4,498cc",가솔린,260~270hp,38.0~38.8kg.m,230km/h,정보없음,정보없음,"자동7.7~8.0km/ℓ(5등급)별표*
",정보없음,"5,065mm","1,870mm","1,465mm","2,830mm","1,615mm","1,615mm","1,990kg",5인승,225mm/60/16inch,225mm/60/16inch,전륜구동,자동5단,맥퍼슨스트럿,멀티링크코일스프링,V디스크,디스크,랙앤피니언,,
1999 에쿠스 리무진,JL350,"6,491만원",V형6기통MPI,정보없음,"3,497cc",가솔린,"자동7.7km/ℓ(5등급)별표*
",5인승,전륜구동,자동,V형6기통MPI,"3,497cc",가솔린,220hp,32.0kg.m,218km/h,정보없음,정보없음,"자동7.7km/ℓ(5등급)별표*
",정보없음,"5,335mm","1,870mm","1,475mm","3,080mm","1,615mm","1,615mm","2,025kg",5인승,225mm/60/16inch,225mm/60/16inch,전륜구동,자동,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1999 에쿠스 리무진,VL450,"7,791~7,820만원","V형8기통GDI,V형8기통MPI",정보없음,"4,498cc",가솔린,"자동7.5~7.9km/ℓ(5등급)별표*
",5인승,전륜구동,자동,"V형8기통GDI,V형8기통MPI","4,498cc",가솔린,260~270hp,38.0~38.8kg.m,230km/h,정보없음,정보없음,"자동7.5~7.9km/ℓ(5등급)별표*
",정보없음,"5,335mm","1,870mm","1,475mm","3,080mm","1,615mm","1,615mm","2,105kg",5인승,225mm/60/16inch,225mm/60/16inch,전륜구동,자동,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
1999 엑센트,1.3 가솔린,512~681만원,1.3α-,정보없음,"1,341cc",가솔린,"자동14.3km/ℓ(2등급)별표*
수동18.8km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동5단",1.3α-,"1,341cc",가솔린,85hp,12.0kg.m,180km/h,정보없음,정보없음,"자동14.3km/ℓ(2등급)별표*
수동18.8km/ℓ(1등급)별표*
",정보없음,"4,115mm","1,620mm","1,395mm","2,400mm","1,420mm","1,410mm",960~990kg,5인승,155mm/80/13inch,155mm/80/13inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
1999 엑센트,1.5 가솔린,623~785만원,"1.5α-,1.5DOHC,1.5LEANBURN",정보없음,"1,495cc",가솔린,"자동13.6~15.3km/ℓ(1등급~2등급)별표*
수동15.8~18.9km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동5단","1.5α-,1.5DOHC,1.5LEANBURN","1,495cc",가솔린,95~104hp,13.6~14.3kg.m,164~185km/h,정보없음,정보없음,"자동13.6~15.3km/ℓ(1등급~2등급)별표*
수동15.8~18.9km/ℓ(1등급)별표*
",정보없음,"4,115mm","1,620mm","1,395mm","2,400mm","1,420mm","1,410mm","965~1,005kg",5인승,155~175mm/70~80/13inch,155~175mm/70~80/13inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2000 싼타모,2.0 LPG SOHC,"1,265만원",l4,자연흡기,"1,997cc",LPG,수동9.6km/ℓ,7인승,전륜구동,수동5단,l4,"1,997cc",LPG,90hp,17.1kg.m,정보없음,정보없음,정보없음,수동9.6km/ℓ,정보없음,"4,630mm","1,740mm","1,590mm","2,720mm","1,470mm","1,470mm",정보없음,7인승,195mm/70/14inch,195mm/70/14inch,전륜구동,수동5단,맥퍼슨스트럿,세미트레일링암,정보없음,정보없음,랙앤피니언,,
2000 싼타모 플러스,2.0 LPG SOHC,"1,481만원",L8CP,정보없음,"1,997cc",LPG,"수동9.6km/ℓ(4등급)별표*
",정보없음,전륜구동,수동5단,L8CP,"1,997cc",LPG,86hp,16.5kg.m,정보없음,정보없음,정보없음,"수동9.6km/ℓ(4등급)별표*
",정보없음,"4,630mm","1,740mm","1,630mm","2,720mm","1,470mm","1,470mm","1,400kg",정보없음,205mm/70/14inch,205mm/70/14inch,전륜구동,수동5단,맥퍼슨스트럿,세미트레일링암,V디스크,드럼,랙앤피니언,,
2000 싼타페,2.0 디젤 2WD,"1,878만원",I42.0,정보없음,"1,991cc",디젤,"자동11.6km/ℓ(3등급)별표*
",7인승,전륜구동,자동4단,I42.0,"1,991cc",디젤,115hp,26.5kg.m,정보없음,정보없음,정보없음,"자동11.6km/ℓ(3등급)별표*
",정보없음,"4,500mm","1,845mm","1,740mm","2,630mm","1,540mm","1,540mm",정보없음,7인승,정보없음,정보없음,전륜구동,자동4단,맥퍼슨스트럿,더블위시본,정보없음,정보없음,정보없음,,
2000 싼타페,2.7 가솔린 4WD,가격정보없음,V62.7,정보없음,"2,656cc",가솔린,"자동8.2km/ℓ(5등급)별표*
",7인승,풀타임4륜구동,자동4단,V62.7,"2,656cc",가솔린,185hp,25.8kg.m,정보없음,정보없음,정보없음,"자동8.2km/ℓ(5등급)별표*
",정보없음,"4,500mm","1,845mm","1,740mm","2,630mm","1,540mm","1,540mm",정보없음,7인승,정보없음,정보없음,풀타임4륜구동,자동4단,맥퍼슨스트럿,더블위시본,정보없음,정보없음,정보없음,,
2001 갤로퍼,6인승 롱바디 V6 3.0,"2,045~2,248만원",D4BA,정보없음,"2,972cc",디젤,"자동6.9km/ℓ(5등급)별표*
수동6.9km/ℓ(5등급)별표*
",6인승,파트타임4륜구동,"자동4단,수동5단",D4BA,"2,972cc",디젤,141hp,22.9kg.m,127km/h,정보없음,정보없음,"자동6.9km/ℓ(5등급)별표*
수동6.9km/ℓ(5등급)별표*
",정보없음,"4,675mm","1,770mm","1,970mm","2,695mm","1,435mm","1,450mm",정보없음,6인승,265mm/70/15inch,265mm/70/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2001 갤로퍼,6인승 롱바디 V6,"1,963~2,166만원",D4BA,정보없음,"2,476cc",디젤,"자동9.5km/ℓ(4등급)별표*
수동10.5km/ℓ(4등급)별표*
",6인승,파트타임4륜구동,"자동4단,수동5단",D4BA,"2,476cc",디젤,81hp,21.0kg.m,136km/h,정보없음,정보없음,"자동9.5km/ℓ(4등급)별표*
수동10.5km/ℓ(4등급)별표*
",정보없음,"4,675mm","1,770mm","1,970mm","2,695mm","1,435mm","1,450mm","1,870kg",6인승,235mm/75/15inch,235mm/75/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2001 갤로퍼,7인승 롱바디 인...,"1,954~2,157만원",D4BH,정보없음,"2,476cc",디젤,"자동8.8km/ℓ(4등급)별표*
수동8.7km/ℓ(4등급)별표*
",7인승,파트타임4륜구동,"자동4단,수동5단",D4BH,"2,476cc",디젤,81hp,21.0kg.m,139km/h,정보없음,정보없음,"자동8.8km/ℓ(4등급)별표*
수동8.7km/ℓ(4등급)별표*
",정보없음,"4,675mm","1,770mm","1,970mm","2,695mm","1,435mm","1,450mm","1,975kg",7인승,235mm/75/15inch,235mm/75/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2001 갤로퍼,6인승 롱바디 터보,"1,934~2,137만원",D4BA,정보없음,"2,476cc",디젤,"자동10.5km/ℓ(4등급)별표*
수동9.5km/ℓ(4등급)별표*
",5인승,파트타임4륜구동,"자동4단,수동5단",D4BA,"2,476cc",디젤,81hp,21.0kg.m,142km/h,정보없음,정보없음,"자동10.5km/ℓ(4등급)별표*
수동9.5km/ℓ(4등급)별표*
",정보없음,"4,675mm","1,770mm","1,970mm","2,695mm","1,435mm","1,450mm","1,870kg",5인승,215mm/75/15inch,215mm/75/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2001 갤로퍼,6인승 인터쿨러,"1,853~2,137만원",D4BH,정보없음,"2,476cc",디젤,"자동8.8km/ℓ(4등급)별표*
수동8.8km/ℓ(4등급)별표*
",6인승,파트타임4륜구동,"자동4단,수동5단",D4BH,"2,476cc",디젤,100hp,25.0kg.m,127km/h,정보없음,정보없음,"자동8.8km/ℓ(4등급)별표*
수동8.8km/ℓ(4등급)별표*
",정보없음,"4,720mm","1,770mm","1,900mm","2,695mm","1,435mm","1,450mm",정보없음,6인승,265mm/70/15inch,265mm/70/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2001 갤로퍼,7인승 롱바디 터보,"1,772~1,975만원",D4BF,정보없음,"2,476cc",디젤,"자동10.5km/ℓ(4등급)별표*
수동9.5km/ℓ(4등급)별표*
",7인승,파트타임4륜구동,"자동4단,수동5단",D4BF,"2,476cc",디젤,81hp,21.0kg.m,128km/h,정보없음,정보없음,"자동10.5km/ℓ(4등급)별표*
수동9.5km/ℓ(4등급)별표*
",정보없음,"4,675mm","1,770mm","1,970mm","2,695mm","1,435mm","1,450mm","1,870kg",7인승,235mm/75/15inch,235mm/75/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2001 갤로퍼,6인승 롱바디,"1,569~1,772만원",D4BH,정보없음,"2,476cc",디젤,"자동10.7km/ℓ(3등급)별표*
수동10.7km/ℓ(3등급)별표*
",5인승,파트타임4륜구동,"자동4단,수동5단",D4BH,"2,476cc",디젤,100hp,21.0kg.m,146km/h,정보없음,정보없음,"자동10.7km/ℓ(3등급)별표*
수동10.7km/ℓ(3등급)별표*
",정보없음,"4,675mm","1,770mm","1,970mm","2,695mm","1,435mm","1,450mm","1,870kg",5인승,215mm/75/15inch,215mm/75/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2001 갤로퍼,7인승 롱바디,"1,569~1,772만원",D4BA,정보없음,"2,476cc",디젤,"자동10.5km/ℓ(4등급)별표*
수동10.5km/ℓ(4등급)별표*
",7인승,파트타임4륜구동,"자동4단,수동5단",D4BA,"2,476cc",디젤,81hp,21.0kg.m,139km/h,정보없음,정보없음,"자동10.5km/ℓ(4등급)별표*
수동10.5km/ℓ(4등급)별표*
",정보없음,"4,675mm","1,770mm","1,970mm","2,695mm","1,435mm","1,450mm","1,815kg",7인승,235mm/75/15inch,235mm/75/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
