rank,title,year,rating,genres,runtime,director,total revenue
202,Mr. Smith Goes to Washington,(1939),8.1,Comedy,2h 9min,Frank Capra,"$144,738"
203,12 Years a Slave,(2013),8.1,Biography,2h 14min,Steve McQueen,"$187,733,202"
204,Barry Lyndon,(1975),8.1,Adventure,3h 5min,Stanley Kubrick,"$198,992"
205,Mad Max: Fury Road,(2015),8.1,Action,2h,George Miller,"$375,225,175"
206,Network,(1976),8.1,Drama,2h 1min,Sidney Lumet,"$23,690,757"
207,Stand by Me,(1986),8.1,Adventure,1h 29min,Rob Reiner,"$52,287,414"
208,Million Dollar Baby,(2004),8.1,Drama,2h 12min,Clint Eastwood,"$216,763,646"
209,Cool Hand Luke,(1967),8.1,Crime,2h 7min,Stuart Rosenberg,None
210,Ben-Hur,(1959),8.1,Adventure,3h 32min,William Wyler,"$74,427,638"
211,Hachi: A Dog's Tale,(2009),8.1,Drama,1h 33min,Lasse Hallström,"$46,749,646"
212,Into the Wild,(2007),8.1,Adventure,2h 28min,Sean Penn,"$56,674,477"
213,Dead Poets Society,(1989),8.1,Comedy,2h 8min,Peter Weir,"$235,860,116"
214,Le salaire de la peur,(1953),8.1,Adventure,2h 11min,Henri-Georges Clouzot,"$1,098"
215,Platoon,(1986),8.1,Drama,2h,Oliver Stone,"$138,545,632"
216,Haeri Poteowa jugeumui seongmul - 2bu,(2011),8.1,Adventure,2h 10min,David Yates,"$1,342,177,743"
217,Life of Brian,(1979),8.1,Comedy,1h 34min,Terry Jones,"$20,738,770"
218,Logan,(2017),8.1,Action,2h 17min,James Mangold,"$619,021,436"
219,Rush,(2013),8.0,Action,2h 3min,Ron Howard,"$96,983,009"
220,Du rififi chez les hommes,(1955),8.0,Crime,1h 58min,Jules Dassin,"$521,342"
221,Ahgassi,(2016),8.0,Drama,2h 25min,Chan-wook Park,"$37,767,206"
222,Les quatre cents coups,(1959),8.0,Crime,1h 39min,François Truffaut,"$127,244"
223,La passion de Jeanne d'Arc,(1928),8.0,Biography,1h 50min,Carl Theodor Dreyer,"$21,877"
224,Hotel Rwanda,(2004),8.0,Biography,2h 1min,Terry George,"$33,882,243"
225,Andrei Rublev,(1966),8.0,Biography,3h 25min,Andrei Tarkovsky,"$145,491"
226,Spotlight,(2015),8.0,Biography,2h 9min,Tom McCarthy,"$98,690,254"
227,Amores perros,(2000),8.0,Drama,2h 34min,Alejandro G. Iñárritu,"$20,908,467"
